Sig_day,Sig_time,Validated,Val_day,Val_time,Label,is_covid,Method,Person,Start_time,sig_day_time,val_day_time
06/11/2020,11:00:00,no,06/11/2020,16:03:00,Topic 1,no,epitweetr,EI expert 2,16:00:00,06/11/2020 11:00,06/11/2020 16:03
18/10/2020,22:00:00,yes,19/10/2020,10:58:00,Topic 10,yes,epitweetr,EI expert 1,10:50:00,18/10/2020 22:00,19/10/2020 10:58
23/10/2020,09:25:00,yes,23/10/2020,09:35:00,Topic 10,yes,Twitter,EI expert 1,09:30:00,23/10/2020 09:25,23/10/2020 09:35
26/10/2020,09:24:00,yes,26/10/2020,09:59:00,Topic 10,yes,Twitter,EI expert 1,09:45:00,26/10/2020 09:24,26/10/2020 09:59
16/11/2020,23:00:00,yes,17/11/2020,09:06:00,Topic 10,no,epitweetr,EI expert 2,09:00:00,16/11/2020 23:00,17/11/2020 09:06
28/10/2020,03:00:00,no,28/10/2020,09:15:00,Topic 11,no,epitweetr,EI expert 1,09:00:00,28/10/2020 03:00,28/10/2020 09:15
03/11/2020,09:18:00,yes,03/11/2020,09:57:00,Topic 11,yes,Twitter,EI expert 2,09:45:00,03/11/2020 09:18,03/11/2020 09:57
23/11/2020,14:18:00,yes,23/11/2020,14:54:00,Topic 11,yes,Twitter,EI expert 2,14:45:00,23/11/2020 14:18,23/11/2020 14:54
04/11/2020,23:00:00,yes,05/11/2020,09:10:00,Topic 12,no,epitweetr,EI expert 2,08:55:00,04/11/2020 23:00,05/11/2020 09:10
19/11/2020,15:34:00,yes,19/11/2020,16:24:00,Topic 12,yes,Twitter,EI expert 2,16:10:00,19/11/2020 15:34,19/11/2020 16:24
09/11/2020,08:17:00,yes,09/11/2020,09:07:00,Topic 13,yes,Twitter,EI expert 2,08:55:00,09/11/2020 08:17,09/11/2020 09:07
09/11/2020,08:09:00,yes,09/11/2020,09:07:00,Topic 13,yes,Twitter,EI expert 2,08:55:00,09/11/2020 08:09,09/11/2020 09:07
10/11/2020,09:24:00,yes,10/11/2020,10:01:00,Topic 13,yes,Twitter,EI expert 2,09:48:00,10/11/2020 09:24,10/11/2020 10:01
12/11/2020,10:02:00,yes,12/11/2020,10:10:00,Topic 13,yes,Twitter,EI expert 2,10:05:00,12/11/2020 10:02,12/11/2020 10:10
12/11/2020,09:55:00,yes,12/11/2020,10:11:00,Topic 13,yes,Twitter,EI expert 2,10:05:00,12/11/2020 09:55,12/11/2020 10:11
18/11/2020,15:46:00,yes,18/11/2020,16:08:00,Topic 13,yes,Twitter,EI expert 2,16:00:00,18/11/2020 15:46,18/11/2020 16:08
25/11/2020,08:22:00,yes,25/11/2020,09:40:00,Topic 13,yes,Twitter,EI expert 1,09:30:00,25/11/2020 08:22,25/11/2020 09:40
28/10/2020,12:00:00,no,28/10/2020,15:15:00,Topic 13a,no,epitweetr,EI expert 1,14:50:00,28/10/2020 12:00,28/10/2020 15:15
21/10/2020,19:00:00,no,22/10/2020,09:13:00,Topic 13b,no,epitweetr,EI expert 1,09:00:00,21/10/2020 19:00,22/10/2020 09:13
29/10/2020,12:00:00,no,29/10/2020,15:44:00,Topic 14,no,epitweetr,EI expert 1,15:40:00,29/10/2020 12:00,29/10/2020 15:44
29/10/2020,12:00:00,no,29/10/2020,15:44:00,Topic 14,no,epitweetr,EI expert 1,15:40:00,29/10/2020 12:00,29/10/2020 15:44
16/11/2020,14:30:00,yes,16/11/2020,15:30:00,Topic 14a,yes,Twitter,EI expert 2,15:15:00,16/11/2020 14:30,16/11/2020 15:30
02/11/2020,12:12:00,yes,02/11/2020,12:40:00,Topic 14b,yes,Twitter,EI expert 2,12:20:00,02/11/2020 12:12,02/11/2020 12:40
26/11/2020,09:45:00,yes,26/11/2020,10:22:00,Topic 14c,yes,Twitter,EI expert 1,10:10:00,26/11/2020 09:45,26/11/2020 10:22
04/11/2020,16:55:00,yes,04/11/2020,17:09:00,Topic 14d,yes,Twitter,EI expert 2,17:00:00,04/11/2020 16:55,04/11/2020 17:09
11/11/2020,11:00:00,yes,11/11/2020,16:03:00,Topic 14e,yes,epitweetr,EI expert 2,16:00:00,11/11/2020 11:00,11/11/2020 16:03
16/11/2020,08:15:00,yes,16/11/2020,09:10:00,Topic 14f,yes,Twitter,EI expert 2,09:05:00,16/11/2020 08:15,16/11/2020 09:10
04/11/2020,16:41:00,yes,04/11/2020,17:15:00,Topic 14g,yes,Twitter,EI expert 2,17:00:00,04/11/2020 16:41,04/11/2020 17:15
